track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,streams,in_apple_playlists,in_deezer_playlists,bpm,key,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,7,14,553,141381703,43,45,125,B,80,89,83,31,0,8,4
LALA,Myke Towers,1,2023,3,23,1474,133716286,48,58,92,C#,71,61,74,7,0,10,4
vampire,Olivia Rodrigo,1,2023,6,30,1397,140003974,94,91,138,F,51,32,53,17,0,31,6
Cruel Summer,Taylor Swift,1,2019,8,23,7858,800840817,116,125,170,A,55,58,72,11,0,11,15
WHERE SHE GOES,Bad Bunny,1,2023,5,18,3133,303236322,84,87,144,A,65,23,80,14,63,11,6
Sprinter,"Dave, Central Cee",2,2023,6,1,2186,183706234,67,88,141,C#,92,66,58,19,0,8,24
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023,3,16,3090,725980112,34,43,148,F,67,83,76,48,0,8,3
Columbia,Quevedo,1,2023,7,7,714,58149378,25,30,100,F,67,26,71,37,0,11,4
fukumean,Gunna,1,2023,5,15,1096,95217315,60,48,130,C#,85,22,62,12,0,28,9
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2023,3,17,2953,553634067,49,66,170,D,81,56,48,21,0,8,33
un x100to,"Bad Bunny, Grupo Frontera",2,2023,4,17,2876,505671438,41,54,83,F#,57,56,72,23,0,27,5
Super Shy,NewJeans,1,2023,7,7,422,58255150,37,21,150,F,78,52,82,18,0,15,7
Flowers,Miley Cyrus,1,2023,1,12,12211,1316855716,300,745,118,,71,65,68,6,0,3,7
Daylight,David Kushner,1,2023,4,14,3528,387570742,80,182,130,D,51,32,43,83,0,9,3
As It Was,Harry Styles,1,2022,3,31,23575,2513188493,403,863,174,F#,52,66,73,34,0,31,6
Kill Bill,SZA,1,2022,12,8,8109,1163093654,183,161,89,G#,64,43,73,5,17,16,4
Cupid - Twin Ver.,Fifty Fifty,1,2023,2,24,2942,496795686,91,78,120,B,78,76,59,43,0,34,3
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,1,2023,7,13,873,30546883,80,95,78,,44,14,9,96,0,10,3
Classy 101,"Feid, Young Miko",2,2023,3,31,2610,335222234,43,54,100,B,86,67,66,14,0,12,16
Like Crazy,Jimin,1,2023,3,24,596,363369738,8,23,120,G,63,36,73,0,0,36,4
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",3,2023,6,22,332,86444842,11,10,140,F,65,87,74,22,0,42,4
I Wanna Be Yours,Arctic Monkeys,1,2013,1,1,12859,1297026226,24,582,135,,48,44,42,12,2,11,3
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,2023,5,31,1313,200647221,17,32,133,F,85,81,67,26,0,12,5
SABOR FRESA,Fuerza Regida,1,2023,6,22,250,78300654,16,10,130,G,79,96,86,9,0,9,9
MOJABI GHOST,"Tainy, Bad Bunny",2,2023,6,29,859,61245289,35,41,122,F#,81,74,71,14,0,56,4
Last Night,Morgan Wallen,1,2023,1,31,2420,429829812,52,15,204,F#,52,52,68,46,0,15,4
Dance The Night (From Barbie The Album),Dua Lipa,1,2023,5,25,2988,127408954,0,143,110,B,67,78,85,2,0,33,5
Rush,Troye Sivan,1,2023,7,13,864,22581161,71,50,126,F,74,35,84,0,0,11,6
TULUM,"Peso Pluma, Grupo Frontera",2,2023,6,28,266,52294266,20,13,168,F#,56,63,87,39,0,11,5
Creepin',"The Weeknd, 21 Savage, Metro Boomin",3,2022,12,2,6036,843957510,113,245,98,C#,71,17,61,36,0,8,5
Anti-Hero,Taylor Swift,1,2022,10,21,9082,999748277,242,165,97,E,64,51,63,12,0,19,5
TQG,"Karol G, Shakira",2,2023,2,23,4284,618990393,115,184,180,E,72,61,63,67,0,9,28
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",8,2023,6,1,1150,123122413,22,34,120,,81,63,68,11,0,11,4
Blank Space,Taylor Swift,1,2014,1,1,11434,1355959075,154,410,96,F,75,57,68,9,0,13,6
Style,Taylor Swift,1,2014,1,1,7830,786181836,94,151,95,D,60,48,79,0,0,12,4
TQM,Fuerza Regida,1,2023,5,19,584,176553476,16,15,125,F,79,96,85,27,0,11,6
El Azul,"Junior H, Peso Pluma",2,2023,2,10,692,354495408,10,6,144,A,56,84,65,23,0,10,6
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2,2018,10,9,24094,2808096550,372,843,90,D,76,91,50,54,0,7,5
I'm Good (Blue),"Bebe Rexha, David Guetta",2,2022,8,26,12482,1109433169,291,537,128,G,56,38,97,4,0,35,4
See You Again,"Tyler, The Creator, Kali Uchis",3,2017,7,21,13387,1047101291,77,247,79,F#,56,58,56,37,0,11,10
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",3,2023,6,23,1117,65156199,82,65,144,,77,75,58,52,0,23,25
Angels Like You,Miley Cyrus,1,2020,11,27,3372,570515054,65,138,122,F,67,49,64,10,0,10,3
I Ain't Worried,OneRepublic,1,2022,5,13,8431,1085685420,241,458,140,,71,82,81,11,0,6,5
Die For You,The Weeknd,1,2016,11,24,2483,1647990401,68,24,134,C#,59,51,52,9,0,15,7
Starboy,"The Weeknd, Daft Punk",2,2016,9,21,29536,2565529693,281,"2,445",186,G,68,49,59,16,0,13,28
Die For You - Remix,"Ariana Grande, The Weeknd",2,2023,2,24,3408,518745108,87,74,67,C#,53,50,53,23,0,44,7
El Cielo,"Feid, Myke Towers, Sky Rompiendo",3,2023,6,2,1298,107753850,44,57,106,A#,72,17,64,7,0,10,5
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3,2023,4,6,4277,177740666,145,213,128,G,60,23,91,0,0,12,3
AMARGURA,Karol G,1,2023,2,24,1133,153372011,14,23,107,F#,92,55,70,18,0,15,7
(It Goes Like) Nanana - Edit,Peggy Gou,1,2023,6,15,2259,57876440,0,109,130,G,67,96,88,12,19,8,4
Another Love,Tom Odell,1,2012,10,15,18371,1813673666,250,"3,394",123,E,45,13,54,70,0,9,4
Blinding Lights,The Weeknd,1,2019,11,29,43899,3703895074,672,"3,421",171,C#,50,38,80,0,0,9,7
Moonlight,Kali Uchis,1,2023,2,24,2649,256483385,67,57,137,G,64,88,72,51,0,17,5
La Bachata,Manuel Turizo,1,2022,5,26,6804,1214083358,139,161,125,G,84,85,68,58,0,22,4
S91,Karol G,1,2023,7,14,525,16011326,34,39,128,,86,42,72,59,0,9,19
cardigan,Taylor Swift,1,2020,7,24,7923,812019557,106,142,130,,61,53,58,55,0,27,4
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2,2023,2,3,5184,156338624,154,102,133,F,70,86,81,25,0,25,5
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3,2022,6,24,3107,720434240,38,4,101,D,88,72,59,62,0,9,3
Hey Mor,"Ozuna, Feid",2,2022,10,6,4637,674072710,63,89,98,C#,90,40,59,0,0,10,29
Yellow,Chris Molitor,1,1999,1,1,31358,1755214421,196,"4,053",173,B,43,28,66,0,0,23,3
Karma,Taylor Swift,1,2022,10,21,3818,404562836,37,32,90,G#,64,10,62,7,0,48,7
People,Libianca,1,2022,12,2,3506,373199958,105,169,198,A#,59,71,42,55,0,10,7
Overdrive,Post Malone,1,2023,7,14,410,14780425,36,31,140,C#,56,48,73,0,0,35,4
Enchanted (Taylor's Version),Taylor Swift,1,2023,7,7,148,39578178,32,8,82,G#,51,22,53,1,0,15,3
BABY HELLO,"Rauw Alejandro, Bizarrap",2,2023,6,23,1004,54266102,42,58,130,C#,77,84,89,17,0,43,5
Heat Waves,Glass Animals,1,2020,6,28,22543,2557975762,386,707,81,B,76,53,53,44,0,9,9
golden hour,JVKE,1,2022,7,15,4511,751134527,70,109,94,C#,51,14,59,65,18,25,3
Sweater Weather,The Neighbourhood,1,2012,5,14,16413,2282771485,166,"1,056",124,A#,61,41,81,5,2,10,3
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,2022,7,6,8506,1356565093,94,164,128,D,62,55,78,1,3,23,4
Viva La Vida,Coldplay,1,2008,1,1,33898,1592909789,233,"4,095",138,F,49,42,62,9,0,11,3
Here With Me,d4vd,1,2022,7,17,3246,635412045,94,68,132,E,58,27,48,50,0,12,3
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,2022,9,22,8576,1230675890,216,331,131,D,71,24,47,1,0,27,9
Yandel 150,"Yandel, Feid",2,2022,12,20,3618,585695368,47,80,168,F#,78,58,73,5,0,10,7
Riptide,Vance Joy,1,1975,1,1,31123,2009094673,300,"1,003",102,C#,48,50,73,43,0,15,4
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2,2022,4,22,2790,600976848,60,71,101,A#,34,32,57,78,0,20,3
Back To December (Taylor's Version),Taylor Swift,1,2023,7,7,139,39228929,16,5,142,D,50,20,64,1,0,12,3
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,2021,7,9,17050,2665343922,492,798,170,C#,59,48,76,4,0,10,5
El Merengue,"Marshmello, Manuel Turizo",2,2023,3,3,2114,223633238,80,110,124,G#,78,70,68,3,1,11,4
Someone You Loved,Lewis Capaldi,1,2018,11,8,17836,2887241814,440,"1,800",110,C#,50,45,41,75,0,11,3
Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,2022,5,6,8870,1440757818,104,141,92,C#,91,43,71,9,0,9,8
Makeba,Jain,1,2015,6,22,6060,165484133,150,"2,703",116,D,82,40,66,39,51,25,7
MONTAGEM - FR PUNK,"Ayparia, unxbected",2,2012,6,20,641,58054811,1,8,129,A,63,84,82,70,8,9,7
Fast Car,Luke Combs,1,2023,3,24,1446,157058870,57,35,98,G#,71,67,60,19,0,12,3
What It Is (Solo Version),Doechii,1,2023,3,17,804,95131998,29,24,172,C#,74,76,76,6,0,10,9
Coco Chanel,"Bad Bunny, Eladio Carrion",2,2023,3,17,1962,250305248,28,29,150,D,68,14,76,4,0,10,4
Still With You,Jung Kook,1,2020,6,5,31,38411956,2,8,88,C#,53,34,47,9,0,83,4
